method,layer_idx,alpha,mode,loophole_rate,compliant_rate,non_compliant_rate,safe_rate,steering_vector_path
base_model,,,,0.38796296296296295,0.24166666666666667,0.37037037037037035,0.612037037037037,
pca,10,0.5,both,0.337037037037037,0.3148148148148148,0.34814814814814815,0.662962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.5_both.npy
pca,10,1.0,both,0.337037037037037,0.3148148148148148,0.34814814814814815,0.662962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.0_both.npy
pca,10,1.5,both,0.34444444444444444,0.30185185185185187,0.3537037037037037,0.6555555555555556,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha1.5_both.npy
pca,10,2.0,both,0.33611111111111114,0.30092592592592593,0.362962962962963,0.663888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha2.0_both.npy
pca,10,3.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha3.0_both.npy
pca,10,4.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha4.0_both.npy
pca,10,6.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha6.0_both.npy
pca,10,8.0,both,0.3296296296296296,0.35,0.32037037037037036,0.6703703703703703,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha8.0_both.npy
pca,11,0.5,both,0.33611111111111114,0.31574074074074077,0.34814814814814815,0.663888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha0.5_both.npy
pca,11,1.0,both,0.33796296296296297,0.32037037037037036,0.3416666666666667,0.662037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.0_both.npy
pca,11,1.5,both,0.3416666666666667,0.30925925925925923,0.3490740740740741,0.6583333333333333,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha1.5_both.npy
pca,11,2.0,both,0.2861111111111111,0.3388888888888889,0.375,0.7138888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha2.0_both.npy
pca,11,3.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha3.0_both.npy
pca,11,4.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha4.0_both.npy
pca,11,6.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha6.0_both.npy
pca,11,8.0,both,0.3212962962962963,0.35462962962962963,0.32407407407407407,0.6787037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer11_alpha8.0_both.npy
pca,12,0.5,both,0.35,0.30277777777777776,0.3472222222222222,0.6499999999999999,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer12_alpha0.5_both.npy
pca,12,1.0,both,0.45092592592592595,0.20092592592592592,0.34814814814814815,0.549074074074074,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer12_alpha1.0_both.npy
pca,12,1.5,both,0.3638888888888889,0.29074074074074074,0.3453703703703704,0.6361111111111111,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer12_alpha1.5_both.npy
pca,12,2.0,both,0.3611111111111111,0.26666666666666666,0.37222222222222223,0.6388888888888888,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer12_alpha2.0_both.npy
pca,12,3.0,both,0.3675925925925926,0.32314814814814813,0.30925925925925923,0.6324074074074073,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer12_alpha3.0_both.npy
pca,12,4.0,both,0.36666666666666664,0.3398148148148148,0.2935185185185185,0.6333333333333333,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer12_alpha4.0_both.npy
pca,12,6.0,both,0.34814814814814815,0.35648148148148145,0.2953703703703704,0.6518518518518519,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer12_alpha6.0_both.npy
pca,12,8.0,both,0.337037037037037,0.35648148148148145,0.30648148148148147,0.662962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer12_alpha8.0_both.npy
