method,layer_idx,alpha,mode,loophole_rate,compliant_rate,non_compliant_rate,safe_rate,steering_vector_path
base_model,,,,0.30925925925925923,0.3592592592592593,0.3314814814814815,0.6907407407407408,
pca,10,1.0,both,0.33240740740740743,0.3574074074074074,0.3101851851851852,0.6675925925925925,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha1.0_both.npy
pca,10,1.25,both,0.3351851851851852,0.35462962962962963,0.3101851851851852,0.6648148148148147,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha1.25_both.npy
pca,10,1.5,both,0.3537037037037037,0.33055555555555555,0.31574074074074077,0.6462962962962964,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha1.5_both.npy
pca,10,1.6,both,0.3490740740740741,0.3212962962962963,0.3296296296296296,0.6509259259259259,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha1.6_both.npy
pca,10,1.7,both,0.35833333333333334,0.3175925925925926,0.32407407407407407,0.6416666666666666,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha1.7_both.npy
pca,10,1.75,both,0.35833333333333334,0.32222222222222224,0.3194444444444444,0.6416666666666666,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha1.75_both.npy
pca,10,1.8,both,0.3574074074074074,0.3212962962962963,0.3212962962962963,0.6425925925925926,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha1.8_both.npy
pca,10,1.9,both,0.35555555555555557,0.3212962962962963,0.32314814814814813,0.6444444444444444,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha1.9_both.npy
pca,10,2.0,both,0.3537037037037037,0.32222222222222224,0.32407407407407407,0.6462962962962964,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha2.0_both.npy
pca,10,2.1,both,0.35,0.3194444444444444,0.33055555555555555,0.6499999999999999,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha2.1_both.npy
pca,10,2.2,both,0.3435185185185185,0.33425925925925926,0.32222222222222224,0.6564814814814814,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha2.2_both.npy
pca,10,2.25,both,0.34629629629629627,0.3333333333333333,0.32037037037037036,0.6537037037037037,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha2.25_both.npy
pca,10,2.3,both,0.3416666666666667,0.337037037037037,0.3212962962962963,0.6583333333333333,data/llm/steering_vectors/steering_loophole_qwen-2.5-7b-instruct_pca_layer10_alpha2.3_both.npy
