method,layer_idx,alpha,mode,loophole_rate,compliant_rate,non_compliant_rate,safe_rate,steering_vector_path
base_model,,,,0.38796296296296295,0.24166666666666667,0.37037037037037035,0.612037037037037,
pca,10,0.01,both,0.37962962962962965,0.25277777777777777,0.3675925925925926,0.6203703703703703,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.01_both.npy
pca,10,0.02,both,0.38333333333333336,0.25555555555555554,0.3611111111111111,0.6166666666666667,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.02_both.npy
pca,10,0.05,both,0.3861111111111111,0.26666666666666666,0.3472222222222222,0.6138888888888889,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.05_both.npy
pca,10,0.075,both,0.37962962962962965,0.275,0.3453703703703704,0.6203703703703705,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.075_both.npy
pca,10,0.1,both,0.3787037037037037,0.2759259259259259,0.3453703703703704,0.6212962962962962,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.1_both.npy
pca,10,0.15,both,0.36666666666666664,0.28888888888888886,0.34444444444444444,0.6333333333333333,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.15_both.npy
pca,10,0.2,both,0.3592592592592593,0.2962962962962963,0.34444444444444444,0.6407407407407407,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.2_both.npy
pca,10,0.25,both,0.35555555555555557,0.3,0.34444444444444444,0.6444444444444444,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.25_both.npy
pca,10,0.3,both,0.35,0.30462962962962964,0.3453703703703704,0.65,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.3_both.npy
pca,10,0.4,both,0.3453703703703704,0.30648148148148147,0.34814814814814815,0.6546296296296297,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.4_both.npy
pca,10,0.5,both,0.337037037037037,0.3148148148148148,0.34814814814814815,0.662962962962963,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.5_both.npy
pca,10,0.75,both,0.33796296296296297,0.3138888888888889,0.34814814814814815,0.662037037037037,data/llm/steering_vectors/steering_loophole_llama-3.1-8b-instruct_pca_layer10_alpha0.75_both.npy
